questions,classes
"调休期间生病是否算工伤——公司项目上痛风,坚持到缓解后回家调休,在家发生病情,住院一周,在医生建议下休养并定期复检,自己在感觉能回岗工作时到原单位报道,单位要求三个月休养期满后再上岗,期间可拿原薪资的百分之四十工资并扣除社保等应缴费用,请问我是否可以按工伤要求发放全额工资",工伤事故
用人单位强制调岗——用人单位以我旷工为由，没有经过和我协商一致。强制性对我进行调岗。我该如何维权？我是否可以终止劳动合同，用人单位是否对我进行经济补偿？,劳动合同
"如何填写劳动仲裁申请书和该怎么索要赔偿——我是在郑州工作2016年大学毕业后进了现在的单位(进单位时间是2016年4月)当时签订的劳动合同1劳动合同到期时间是2018年12月31日,现在已经超期两月,单位没有找我续签2在没有劳动合同的情况下,我继续工作至今,我想离职公司不让,还对我进行些许言语辱骂,强制我留到六月份学期带完(公司是教育机构)3不发工资和课时费4我有不让我离职的聊天截图和辱骂截图,以及单位12月份的社保缴纳记录5我于2月21号因下面原因不再去工作,并要求离职被拒绝,开始我只想要把我一月份的工资和课时费给我,后面多发协商无果,还对我进行言语辱骂.6事发原因单位与某中学的合作项目,因学校要求周六日全部补课而合作终止.终止之后单位把我拍到另一个工作地点工作,因为那个地方工作太偏远,而且两周休息一天,我无法顾及我的生活和我的父母(我妈妈肾衰竭我爸爸心脏病,低保户家庭)",辞退解雇
工资不直接发在我账号里——请问去实习公司不和我们签劳动合同，而且工资发给学校在发给我们算不算违法,员工权益
劳动纠纷——请问，交保满15年，年龄50周岁，企业工作7年，不让退休怎么办？,员工权益
劳动仲裁——请问下劳动仲裁判决认可工资部分，以及赔偿金（说发条失效）我提起上诉可以要求赔偿赔偿金部分，可以先向申请法院先执行工资部分吗？,维权方式
被扣工资——2018年3月-5月.我在个人企业工作，世界杯期间6月份未请假看球，2018年7月结束回公司被老板告知不用了。工资还有2000没开，说年底再说，年底去了给开1000.另外1000没开。理由是涨工资的3个月扣除了。我不明白这个逻辑，2019年1月21日我去的开发区劳动局，先监察调解未果，需要劳动仲裁，仲裁需要各种证明，我不能出示，请问还需要做那些，另外还有几人也被扣工资了。,员工权益
劳动仲裁申请书——本人于2018年10月10日申请入职，在职期间未签订劳动合同，当时口头谈工资试用期2000一个月，一至三个月转正（转正后2500），于2018年11月11日提交转正申请书，当时人事领导说必须月初才能转正，后口头订于十二月转正。2019年1月13日，被部门主管微信电话告知辞退。未提前通知，请问未签订劳动合同双倍工资应申请几个月，辞退补偿金应该申请多少？,辞退解雇
社保所停发已退休人员工资是否合法——事业单位欠缴社保所在职职工应缴养老保险，社保所是停发已退休人员工资是否合法,劳动保险
用人单位解除已满退休年龄后未享受养老保险待遇仍在继续工作的劳动者，是根据《合同法》与劳动者平等协商约定支付经济补偿，还是根据劳动法律法规支付经济补偿？——杜某为林场的非编制人员，由于政策原因未缴纳养老保险，一直工作到71岁时（2007年）与林场签订了《解除劳动合同协议》，双方约定：由原林场每月支付杜某生活费、医疗费、护理费等共计人民币500元，直至其死亡时止，去世后给付2000元安葬费。2017年，国有林场改革，林场提出该协议未依照《违反和解除劳动合同的经济补偿办法》（劳部发〔1994〕481号），合同无效停止支付。杜某提起诉讼，一二审法院认定该协议不是劳动纠纷，属于合同纠纷，不违反法律，该协议有效。,辞退解雇
