questions,answers,classes
劳动法——国企单位外派临时工期限本人在国企单位工作三年但是一直签署三方合同，并且在起初签署劳动合同同时要求签署不记时间的离职合同。劳动合同全部收回，为给劳动者是否违法,你好，法律服务组3来为您解答问题你在签署劳动合同时候，单位要求你签署不计时间的离职协议，是为了在和你结束劳动关系时候，视为是你自动辞职，而非公司解除和你劳动合同关系。因为根据劳动法相关规定，公司解雇你，是要支付你劳动赔偿金的，而你自己辞职是不需要支付这笔费用的。根据《劳动合同法》第三十六条、第三十七条的有关规定，用人单位与劳动者协商一致，可以解除劳动合同，但劳动者需提前三十日以书面形式通知用人单位，在试用期内的，需提前三日通知用人单位。因此，对于自请辞职者，应注意审查其是否在法律规定的时间内提出，同时，要求其填写《离职申请单》，经用人单位同意后可办理离职手续。这里，应特别注意的是，员工在职期间造成用人单位损失需要赔偿的，应在员工离职时一并结清赔付事项。所以，若离职协议不是你自愿签署，你可以搜集证据证明你非资源签署，并申请劳动仲裁。,劳动保险
退休，养老保险——您好！我父亲是基层供销社员工，现在到了退休年龄，而养老保险只交了9年的，现在想退休，供销社说只能自己补了保险才能退，我想问一下，这个保险单位那部分供销社不承担吗？电话18536689139，邮箱405463004@qq.com,你好，法律服务组3来为您解答问题：你这种情况在《中华人民共和国社会保险法》中是有规定的，原文如下：第十六条参加基本养老保险的个人，达到法定退休年龄时累计缴费满十五年的，按月领取基本养老金。参加基本养老保险的个人，达到法定退休年龄时累计缴费不足十五年的，可以缴费至满十五年，按月领取基本养老金；也可以转入新型农村社会养老保险或者城镇居民社会养老保险，按照国务院规定享受相应的养老保险待遇。所以很显然，你可以选择补足十五年的养老保险费。另外，补交养老金为单位补缴，也可以是个人补缴。,劳动保险
劳动法相关——我于2017年2月1日开始上班，并在2月份与单位签订了一年的劳动合同，合同里面明文规定实习期三个月，从2017年2月1日到2017年5月1日，但是我现在想辞职，请问如果我现在辞职需不需要负什么法律责任？（在上班期间未参加任何培训）,你好，法律服务组3来为您解答问题：1、试用期间辞职提前三天申请就可以了吗，不需要一个月。2、具体请参考《中华人民共和国劳动合同法》第三十七条：劳动者提前三十日以书面形式通知用人单位，可以解除劳动合同。劳动者在试用期内提前三日通知用人单位，可以解除劳动合同。,劳动保险
劳动合同内的纠纷——公司雇我雇为之工作，另外在找不到合适配送下安排我拉菜，配了一辆三轮车，在拉菜了一年后，我要上班前后.接送小孩自己买了一辆车，现我以自己的车拉菜申请磨损市场价三分之一.最低补贴，公司以已有三轮车和劳动合同中不得拒绝领导安排的安排为由，拒绝我的补贴申请。在不想失去工作的前堤下我该怎么办。,你好，法律服务组3来为您解答问题：你用自己的车拉公司的菜完全是你个人选择，而不是公司的指派，所以对于你汽车的损耗公司可以有理由不予以支付。并且公司已经为你拉菜配备了车，所以我认为无论你是否解除劳动合同，你都无权要求公司对你的汽车损害进行补偿。,劳动保险
劳动合同，重复签了，那个为准——发现单位和我签的劳动合同出现了这样的问题，10年1月1号，签到了12年12月31号，同年又签了第二份，10年12月1日签到了13年12月31号，这2份都有我的签字，公司章，劳动局备案章，怎么感觉少签了一年？问题1：要是后签的有效，那是不是10年1月1号到10年12月就没签，那么我就是无固定期合同了？问题2：13年以后签的固定期限合同是不是就无效了？,您好，法律服务组7为您解答。按照您的描述，建议您可以咨询当地的劳动行政管理部门，一般情况下，合同的签订前后时间有重复的，应当以最后一份签订的内容为准。您的情况，具体来说应当是需要重新签订一份合同来撤销掉另外两份合同的效力，但是按照您的描述，已经是几年前的事情了，建议您还是讲具体问题咨询当地的劳动行政管理部门，以得到更满意的答复。,劳动保险
拖欠工资申请社保——申请用5月6月9月未发的工资低缴社保，未申请的拖欠的8月的工资能否低缴社保,老板的行为已经构成违约，您可以委托我们律师帮您起诉这个老板，要求法院判令他支付拖欠的款项。由于你的情况没有介绍清楚，具体怎么做我也没办法告诉你，请你致电028-67689239，赵律师。,劳动保险
雇佣的工人被他人叫去干活时，意外身亡——律师你好，我是从事建筑装修，例如搭棚，盖瓦。我雇佣了一支施工队伍。施工队伍已经完成施工，准备撤场。但是工厂的厂长叫了其中一名工人去修补瓦顶，工人失足摔了下来，这并不是我们的工作范围。工人当场死亡。当时我也没有在工地上，也不知道这件事情，无法阻止。工厂与死者家属私下协商，赔了50万，现在工厂还要我陪20W，并且有10W的工程款也无法收回。由于是小本生意，当时并没有跟厂方签订劳动合同。在这件事情里面，我需要承担责任吗？我该怎么维护自己的权利？,您好！一般不是因为工作原因造成的，不属于工伤。,劳动保险
华新公司以内部承包方式给员工——2014年我进入华新公司工作，华新公司给我们发放工作证。现人民法院不支持我与华新公司之间有劳动关系。华新公司是以内部承包的方式给内部员工的。请问人民法院的判决对不对？,女职工在孕期不能适应原劳动的，用人单位应当根据医疗机构的证明，予以减轻劳动量或者安排其他能够适应的劳动。对怀孕7个月以上的女职工，用人单位不得延长劳动时间或者安排夜班劳动，并应当在劳动时间内安排一定的休息时间。怀孕女职工在劳动时间内进行产前检查，所需时间计入劳动时间。,劳动保险
拖欠学生工资如何维权——你好，我们是大学生寒假工经生代理介绍给中介公司然后签署合同去工厂里做工一个月，但是回到学校后中介并未按当时承诺的工资发放，并且工资亏缺十分严重，多次电话联系中介总是一拖再拖或推脱责任，当时签署的劳务派遣合同也并未给我们，我们现在应该怎么办？万分感谢！,您好，法律服务组7为您解答。按照您的描述，如果用人单位与职工没有签订书面劳动合同的，并不影响劳动关系的成立，也就是说双方存在事实的劳动关系，职工因工作原因受伤的，仍属于工伤，可以要求工伤待遇。在处理工伤时，应该在规定时间内向劳动保障部门申请工伤认定，认定工伤并治疗终结后再申请伤残鉴定，之后再根据鉴定的伤残等级等情况确定具体的工伤赔偿金额。对于赔偿金额，如果与用人单位协商不成的，可以申请劳动仲裁。同时，如果用人单位没有为职工缴纳工伤保险的，则应由用人单位承担或赔偿全部的工伤待遇。相关法条：《工伤保险条例》第三十条职工因工作遭受事故伤害或者患职业病进行治疗，享受工伤医疗待遇。职工治疗工伤应当在签订服务协议的医疗机构就医，情况紧急时可以先到就近的医疗机构急救。治疗工伤所需费用符合工伤保险诊疗项目目录、工伤保险药品目录、工伤保险住院服务标准的，从工伤保险基金支付。工伤保险诊疗项目目录、工伤保险药品目录、工伤保险住院服务标准，由国务院社会保险行政部门会同国务院卫生行政部门、食品药品监督管理部门等部门规定。职工住院治疗工伤的伙食补助费，以及经医疗机构出具证明，报经办机构同意，工伤职工到统筹地区以外就医所需的交通、食宿费用从工伤保险基金支付，基金支付的具体标准由统筹地区人民政府规定。工伤职工治疗非工伤引发的疾病，不享受工伤医疗待遇，按照基本医疗保险办法处理。工伤职工到签订服务协议的医疗机构进行工伤康复的费用，符合规定的，从工伤保险基金支付。第六十二条用人单位依照本条例规定应当参加工伤保险而未参加的，由社会保险行政部门责令限期参加，补缴应当缴纳的工伤保险费，并自欠缴之日起，按日加收万分之五的滞纳金；逾期仍不缴纳的，处欠缴数额1倍以上3倍以下的罚款。依照本条例规定应当参加工伤保险而未参加工伤保险的用人单位职工发生工伤的，由该用人单位按照本条例规定的工伤保险待遇项目和标准支付费用。用人单位参加工伤保险并补缴应当缴纳的工伤保险费、滞纳金后，由工伤保险基金和用人单位依照本条例的规定支付新发生的费用。《中华人民共和国劳动合同法》第八十二条用人单位自用工之日起超过一个月不满一年未与劳动者订立书面劳动合同的，应当向劳动者每月支付二倍的工资。用人单位违反本法规定不与劳动者订立无固定期限劳动合同的，自应当订立无固定期限劳动合同之日起向劳动者每月支付二倍的工资。《中华人民共和国社会保险法》第八十四条用人单位不办理社会保险登记的，由社会保险行政部门责令限期改正；逾期不改正的，对用人单位处应缴社会保险费数额一倍以上三倍以下的罚款，对其直接负责的主管人员和其他直接责任人员处五百元以上三千元以下的罚款。,劳动保险
民事劳动纠纷——我在一家私厂上班，没有欠过劳动合同，工作三个多月，现在年底了要回家了，我去问老板要工资老板说要再给他做几天，要不然不给结工资，今天我又去了，老板直接说没有了，还对我进行人身侮辱，而且他还要告我说要我赔偿他的损失，请问律师怎么办,您好，法律服务组7为您解答。按照您的描述，您应该遭遇了恶意欠薪的情况。根据我国法律的规定，如果用人单位克扣或者无故拖欠劳动者工资的，您可以向劳动行政部门责令其支付您的工资和经济补偿，并可责令其支付赔偿金，您也可以向劳动争议仲裁机关申请仲裁，如果对仲裁裁决仍不满意，则可以提起诉讼。建议您搜集您给老板打工的证据，向仲裁机关申请仲裁，如果对仲裁裁决不满意，则可以提起诉讼维护权益。相关法条：《工资支付暂行规定》第十八条各级劳动行政部门有权监察用人单位工资支付的情况。用人单位有下列侵害劳动者合法权益行为的，由劳动行政部门责令其支付劳动者工资和经济补偿，并可责令其支付赔偿金：（一）克扣或者无故拖欠劳动者工资的；（二）拒不支付劳动者延长工作时间工资的；（三）低于当地最低工资标准支付劳动者工资的。经济补偿和赔偿金的标准，按国家有关规定执行。第十九条劳动者与用人单位因工资支付发生劳动争议的，当事人可依法向劳动争议仲裁机关申请仲裁。对仲裁裁决不服的，可以向人民法院提起诉讼。,劳动保险
