questions,answers,classes
所要赔偿——我2003年上班，是农业户口给上三险，后来刚上班就上五险，厂方2017年搬迁到很远的地方，如果不去有何补偿,您好，法律服务组7为您解答。根据我国法律的规定，用人单位未按时足额缴纳社会保险费的，由社会保险费征收机构责令其限期缴纳或者补足。因此，按照您的描述，如果联合执法办公室并不处理您的请求，您可以向仲裁机关申请仲裁，对仲裁结果不满意的，再可以向法院提起诉讼。相关法条：《中华人民共和国劳动法》第七十七条用人单位与劳动者发生劳动争议，当事人可以依法申请调解、仲裁、提起诉讼，也可以协商解决。调解原则适用于仲裁和诉讼程序。第七十九条劳动争议发生后，当事人可以向本单位劳动争议调解委员会申请调解；调解不成，当事人一方要求仲裁的，可以向劳动争议仲裁委员会申请仲裁。当事人一方也可以直接向劳动争议仲裁委员会申请仲裁。对仲裁裁决不服的，可以向人民法院提起诉讼。《中华人民共和国社会保险法》第六十三条用人单位未按时足额缴纳社会保险费的，由社会保险费征收机构责令其限期缴纳或者补足。用人单位逾期仍未缴纳或者补足社会保险费的，社会保险费征收机构可以向银行和其他金融机构查询其存款账户；并可以申请县级以上有关行政部门作出划拨社会保险费的决定，书面通知其开户银行或者其他金融机构划拨社会保险费。用人单位账户余额少于应当缴纳的社会保险费的，社会保险费征收机构可以要求该用人单位提供担保，签订延期缴费协议。用人单位未足额缴纳社会保险费且未提供担保的，社会保险费征收机构可以申请人民法院扣押、查封、拍卖其价值相当于应当缴纳社会保险费的财产，以拍卖所得抵缴社会保险费。第八十四条用人单位不办理社会保险登记的，由社会保险行政部门责令限期改正；逾期不改正的，对用人单位处应缴社会保险费数额一倍以上三倍以下的罚款，对其直接负责的主管人员和其他直接责任人员处五百元以上三千元以下的罚款。第八十六条用人单位未按时足额缴纳社会保险费的，由社会保险费征收机构责令限期缴纳或者补足，并自欠缴之日起，按日加收万分之五的滞纳金；逾期仍不缴纳的，由有关行政部门处欠缴数额一倍以上三倍以下的罚款。,劳动合同
工伤期间被辞退——上班途中被车撞到，工伤期间公司让辞职，自己不懂写了辞职报告。另外公司没有认定工伤，他说有车主赔偿了。公司辞退我，这样做违法吗？我还没全好，没找车主赔偿呢，辞职报告有效吗？我还能获得公司的就业补偿金吗？1601219179@qq.com,您好，法律服务组7为您解答。根据您的描述，您的问题属于职工因工作侵权的法律问题。根据我国《侵权责任法》的相关规定，用人单位的工作人员因执行工作任务造成他人损害的，由用人单位承担侵权责任。也就是说，如果是您在执行公务中造成他人损害的，应当由用人单位承担责任。但是，在用人单位承担责任之后，可以依据单位与职工的劳动合同以及造成形成损害的原因与过错等方面再追究工作人员的责任。相关法条：《中华人民共和国侵权责任法》第三十四条用人单位的工作人员因执行工作任务造成他人损害的，由用人单位承担侵权责任。劳务派遣期间，被派遣的工作人员因执行工作任务造成他人损害的，由接受劳务派遣的用工单位承担侵权责任；劳务派遣单位有过错的，承担相应的补充责任。,劳动合同
身份证与档案不符——我女儿原始档案出生日1961年4月1日，参加工作时间1978年4月1日。身份证1974年4月1日，退休按哪为准,"肯定要签订劳动合同,现在企业与你签订的是什么类型的劳动合同就是什么类型的劳动合同.",劳动合同
退休工人死亡后遗属补助还有没有——我父亲是河南洛阳国有企业退休工人，今年因病不幸去世，我母亲在家务农，今年80岁了，请问我母亲还能不能享受遗属生活补助？,"由于是从你工资扣除的,是克扣工资行为,可以向当地的劳动监察部门投诉.",劳动合同
劳动纠纷咨询——（1）我和几个同事承包一工程外粉，老板大面积自己做，线条给我们做，每平米价格不加钱，面积计算又少。签合同太笼统，当时只谈外粉刷价格，面积计算方式，我曾经提起过，老板一直拖到工程结束，不曾签。（2）飘窗板洞口面积应该咋计算？邮箱f28141cheng@163.com,可以在案发地申请法律援助。,劳动合同
我爸爸需要承担责任吗——别人请我爸带她孩子到她姐姐家，途中我爸的摩托车掉沟里身亡，她孩子没事，我爸要负责任吗,"你好:因你已超过六十周岁，不适用工伤保险条例所设定的权利义务。你与用人单位只是劳务关糸，应当适用<<侵权责任法>>相关规定。你务必在接到仲裁之日起15日内向法院提起民事诉讼。不必进行""确认劳动关糸""的行政诉讼。",劳动合同
除名的工人——你好我以前是林业局的2000年局里要求不在职工人进行清退就是退职当时在外地打工不知道给我进行了除名没有得到退职补偿款在2006年别的林业局除名的工人进行上访给予了补偿今年我才知道可是我们林业局没给您说这事能找回来吗,你妈的单位以不在县区而在市区为由拒不返还，其理由不成立，只要你妈符合其单位福利的条件，应当返还。如果拒不返还的，你们可以去法院诉讼，要求其返还即可。,劳动合同
辞职时公司要扣除食宿费是否合理——在某公司不干了辞职时该公司领导说要扣除寝室费每天10元但是在签临时劳动时没有注明并且在招聘时说食宿免费我想问一下是不是合理如不合理该公司该受到什么处罚,《劳动部关于女职工生育待遇若干问题的通知》，对女职工产假、产假期间待遇以及适用范围等问题更为详细的解释：一、怀孕不满四个月流产时，应当根据医务部门的意见，给予十五天至三十天的产假；怀孕满四个月以上流产时，给予四十二天产假。产假期间，工资照发。二、产假期满，因身体原因仍不能工作的，经过医务部门证明后，其超过产假期间的待遇，按照职工患病的有关规定处理。是否享受福利待遇问题，个人观点是都应该享受，但是各个省份都有地方规定，如果单位扣发你的奖金，你有权要求单位出示相关规定。,劳动合同
我该怎样保护自己的利益维权？——我原来在一个工厂里上班，因为货源不足，我负责检验的车间没事做都要求辞职走人了，但所有人进去都上班的普工都没有签订劳动合同，我做了两个月他工资没给我结清，一直以各种借口拖着没发我，后来过了两个月我又去上了一个多月班，直到现在才离职，叫我写一份离职手续，我觉得我们之间没有劳动合同的约束，没道理办这个，我担心他工资不发我，可能还会扣一点下来，所以我离职报告写了，车间里的部门签字了，只有人事部没签，没有交给他们，我现在该怎么做？我该怎样维权？,向上一级人民法院申请,劳动合同
工伤认定申请里的诊断书如何写——本人提出工伤认定申请，医院出具的诊断书上是否要写明，工伤发生的时间，地点，何种原因导致事故等内容。我的邮箱：alskyyy@163.com,你可以向劳动争议仲裁委员申请仲裁，维护你的合法权益。,劳动合同
养老保险和经济赔偿法律法规——你好，我老婆在广州一家港资制衣企业打工14年多，（平均工资2200）今年47岁了，08年与公司签订无固定期限合同，今年12月28日公司找到她们⒋位签订无固定期限合同员工，要求协商解除劳动合同，公司说；依照劳动合同法第40条之三，提前三十日以书面形式，额外支付劳动者一年一个月工资经济补偿，解除她们劳动合同，请问一、公司解除劳动合同是否违法、经济补偿是否合理。二、我老婆今年47岁了，已缴纳社会保险11年了，距法定退休年龄还差3年（50岁），距法定缴纳年限还差4年（15年），如果我要求公司补交3年多社会保险是否法律。谢谢,天津冠达律师事务所张律师解答：根据2011年7月1日实施的《社会保险法》第十九条用人单位在终止或者解除劳动合同时拒不向职工出具终止或者解除劳动关系证明，导致职工无法享受社会保险待遇的，用人单位应当依法承担赔偿责任。第二十条职工应当缴纳的社会保险费由用人单位代扣代缴。用人单位未依法代扣代缴的，由社会保险费征收机构责令用人单位限期代缴，并自欠缴之日起向用人单位按日加收万分之五的滞纳金。用人单位不得要求职工承担滞纳金。第二十四条用人单位未按月将缴纳社会保险费的明细情况告知职工本人的，由社会保险行政部门责令改正；逾期不改的，按照《劳动保障监察条例》第三十条的规定处理。第二十七条职工与所在用人单位发生社会保险争议的，可以依照《中华人民共和国劳动争议调解仲裁法》、《劳动人事争议仲裁办案规则》的规定，申请调解、仲裁，提起诉讼。职工认为用人单位有未按时足额为其缴纳社会保险费等侵害其社会保险权益行为的，也可以要求社会保险行政部门或者社会保险费征收机构依法处理。社会保险行政部门或者社会保险费征收机构应当按照社会保险法和《劳动保障监察条例》等相关规定处理。在处理过程中，用人单位对双方的劳动关系提出异议的，社会保险行政部门应当依法查明相关事实后继续处理。综上所述，单位存在违法行为，你可以申请维权。,劳动合同
再议广电局与通讯员之间的关系——1984年乡镇与广播局联合聘用李同志任乡镇民办公助报道员，并签订了无期限的联合聘用书，在聘用书中乡镇要求李同志做好四项工作，月发工资20元，到2010年，随着经济发展，增长到450元；局要求李同志做好四项工作，月发补助工资15元，到2002年1月份，随着经济发展，增长到80元，稿费照付。附聘用书内容：××乡（镇）××县广播站联合聘用书一、经××乡（镇）党委、政府考察推荐，县广播站考核同意，特聘请××同志任××乡镇民办公助广播报道员。二、××同志简历三、乡（镇）党委、政府对××同志提出的要求1、兼党委办办事员；2、参加乡机关日常活动；3、积极做好本乡报道工作；4、抓好业余报道员的培训辅导工作；5、在达到上述要求后，乡（镇）党委将给予××同志月工资20元。并附如下奖惩意见：奖励条件和乡财政发工资的同志一样。四、县广播站要求××同志做到：1、做好全乡（镇）报道工作，努力发展业余通讯员，保证全乡（镇）全年向县广播站投稿不少于四百篇；2、完成自身的写稿任务，每月自己向县广播站投稿不少于十三篇（其中专题性稿件不少于三篇）；3、做好听联工作，及时反映广大听众对县站的意见；4、积极向上级台、站和报刊投稿。在达到上述要求后，县站将每月补助工资计15元，在每月月底由本人到县站领取。向县站投稿一经采用，稿酬照付。年终超额完成任务的，酌情予以奖励。五、在协商达成上述各条协议后，××同志从一九八五年二月起正式被聘用，乡（镇）工资从一九八五年二月起发给，县广播站补助工资从一九八五年二月底起发给。、六、××同志正常的工作、考勤、考核由乡（镇）党委政府负责，服务从乡（镇）党委政府领导，但乡（镇）党委政府不得将其包村定队，派给通讯报道工作以外的其它任务。县广播站负责对××同志业务领导，业务辅导，××同志要参加县站正常的工作会议，领取通讯报道任务。××县××乡（镇）党委政府（章）××县人民广播站（章）被聘用人：××（章）一九八四年十二月这是《中华人民共和国劳动法》未颁布前的签订的不完备劳动合同（联合聘用书），二十八年中的前十八年，广播局按时召开报道员（后改为驻乡镇记者）例会、总结表彰会，广播局与通讯员之间形成了管理与被管理的关系，形成了用人单位与劳动者之间的关系，特别是聘用书中的第六条已很清楚，双方是形成了管理与被管理的不平等关系。履行聘用书期间受到工资最低保障制度的约束，县广播局月补助工资由一九八四年的15元增长到二零零二年的80元。如果是简单的劳务和雇佣关系的话，是不应该是这么严肃的且时间跨度这么长的管理与被管理状况。烦请王玉科律师进一步给予解答，谢谢！,你好，计算加班费根据你的加班时间和工资数额计算。正常工作是每天工作8小时，每月计算工资标准天数是21.75天，因此，具体你可以自己计算。,劳动合同
申请劳动仲裁是否需劳动局长批准——申請劳动仲裁是否要劳动局长批准?,根据法律规定，从事财务工作是应该要取得会计证的，用人单位的做法并不违法。,劳动合同
单位开的调入手续有没有效？——我是1999年在一家国有单位上岗，2007年另一家国有单位要工人，叫我把工作调入这家单位，并给我一个调入手续，我于拿作这个手续是到原单位把档案取回交给现在的单位，并在劳动局签字。2011年现在的国有企业改制，要给补偿金，现在的单位说开的调函没有效，1999年到2011年的工龄不算，请问这种调函有没有效？该怎么办？,如果你的是计件工资，这种计算方法并没有什么不当。但是，每个月都加班，而且没有加班费，这一点有些不妥。,劳动合同
