questions,answers,classes
"调休期间生病是否算工伤——公司项目上痛风,坚持到缓解后回家调休,在家发生病情,住院一周,在医生建议下休养并定期复检,自己在感觉能回岗工作时到原单位报道,单位要求三个月休养期满后再上岗,期间可拿原薪资的百分之四十工资并扣除社保等应缴费用,请问我是否可以按工伤要求发放全额工资",《工伤保险条例》第十四条职工有下列情形之一的，应当认定为工伤：(一)在工作时间和工作场所内，因工作原因受到事故伤害的;(二)工作时间前后在工作场所内，从事与工作有关的预备性或者收尾性工作受到事故伤害的;(三)在工作时间和工作场所内，因履行工作职责受到暴力等意外伤害的;(四)患职业病的;(五)因工外出期间，由于工作原因受到伤害或者发生事故下落不明的;(六)在上下班途中，受到非本人主要责任的交通事故或者城市轨道交通、客运轮渡、火车事故伤害的;(七)法律、行政法规规定应当认定为工伤的其他情形。第十五条职工有下列情形之一的，视同工伤：(一)在工作时间和工作岗位，突发疾病死亡或者在48小时之内经抢救无效死亡的;(二)在抢险救灾等维护国家利益、公共利益活动中受到伤害的;(三)职工原在军队服役，因战、因公负伤致残，已取得革命伤残军人证，到用人单位后旧伤复发的。根据上述标准，劳动者在调休期间发病，很难认定为工伤,员工权益
用人单位强制调岗——用人单位以我旷工为由，没有经过和我协商一致。强制性对我进行调岗。我该如何维权？我是否可以终止劳动合同，用人单位是否对我进行经济补偿？,可以终止劳动合同，用人单位对你进行经济补偿。,员工权益
"如何填写劳动仲裁申请书和该怎么索要赔偿——我是在郑州工作2016年大学毕业后进了现在的单位(进单位时间是2016年4月)当时签订的劳动合同1劳动合同到期时间是2018年12月31日,现在已经超期两月,单位没有找我续签2在没有劳动合同的情况下,我继续工作至今,我想离职公司不让,还对我进行些许言语辱骂,强制我留到六月份学期带完(公司是教育机构)3不发工资和课时费4我有不让我离职的聊天截图和辱骂截图,以及单位12月份的社保缴纳记录5我于2月21号因下面原因不再去工作,并要求离职被拒绝,开始我只想要把我一月份的工资和课时费给我,后面多发协商无果,还对我进行言语辱骂.6事发原因单位与某中学的合作项目,因学校要求周六日全部补课而合作终止.终止之后单位把我拍到另一个工作地点工作,因为那个地方工作太偏远,而且两周休息一天,我无法顾及我的生活和我的父母(我妈妈肾衰竭我爸爸心脏病,低保户家庭)",第一，劳动争议仲裁申请书有格式范本，您可以到当地劳动争议调解仲裁委员会索取。在仲裁委接待室，一般均备有印制好的劳动争议仲裁申请书。您按照申请书上的要求填写即可。在填写该申请书时务必要清楚地写明您的诉求以及理由。第二，从您介绍的情况来看，您有权提出如下主张：①足额补发全部应发工资；②支付因未签订劳动合同而应额外支付的一个月的工资（法律依据为《中华人民共和国劳动合同法》第82条）；③再支付三个月的工资作为经济补偿，计算标准是在该用人单位的工作年限，从2016年4月签订劳动合同时起至今年实际终止劳动合同时止（法律依据为《中华人民共和国劳动合同法》第38条、第46条、第47条）。以上建议因律师了解案情有限，仅供参考。,员工权益
社保所停发已退休人员工资是否合法——事业单位欠缴社保所在职职工应缴养老保险，社保所是停发已退休人员工资是否合法,社保部门的做法是违法的，社保部门无权停发你们的退休金。供你参考,员工权益
用人单位解除已满退休年龄后未享受养老保险待遇仍在继续工作的劳动者，是根据《合同法》与劳动者平等协商约定支付经济补偿，还是根据劳动法律法规支付经济补偿？——杜某为林场的非编制人员，由于政策原因未缴纳养老保险，一直工作到71岁时（2007年）与林场签订了《解除劳动合同协议》，双方约定：由原林场每月支付杜某生活费、医疗费、护理费等共计人民币500元，直至其死亡时止，去世后给付2000元安葬费。2017年，国有林场改革，林场提出该协议未依照《违反和解除劳动合同的经济补偿办法》（劳部发〔1994〕481号），合同无效停止支付。杜某提起诉讼，一二审法院认定该协议不是劳动纠纷，属于合同纠纷，不违反法律，该协议有效。,属于离退休之后返聘纠纷案件，应该是不经劳动仲裁直接到法院起诉，应依据你们之间的合同支付相应的报酬,员工权益
因个人失误，造成单位损失，单位全部让我承担，我该怎么办呢——本人2016年12月与公司签订合同，2017年9月至2018年1月期间，因项目部只有我一个技术人员，经常早上6点上班，晚上12点下班，于是在工作中犯了一次错误，造成单位经济损失2万元，单位让我全部承担，请问我该怎么办？,你好，可以先协商解决，如果协商不成有权申请劳动仲裁要求支付你的加班费用,员工权益
"国企劳务派遣连续工作十年解聘——你好,我在国企以劳务派遣形式安排到公司工作期间公司指派两家公司续签合同，在日常工作中无违反公司规章制度，已连续工作超10年现在公司因为业务转型提前一个月电话告知去劳动单位签署解除劳动合同通知（未签字），公司因为中间制定两家劳务派遣公司前一家公司2年4个月认定适度补偿后续签公司补偿按一年一月当年平均工资补偿，单位正式员工同工不统筹2008年进单位公司没有为我缴纳社会保险和住房公积金，公积金正式工指数比例12%补偿我是5%能诉求和本单位正式职工一样系数吗？社保医保是2012年5月31号开始缴纳，我要求补缴在职期间所有社保医保公司回复不予支持，我能要求完全补缴另外能要求一年两个月补偿吗？",你好，你的要求合理合法，建议你依法申请劳动仲裁,员工权益
劳动纠纷——你好，我想请问律师一个问题，我在外卖公司送外卖，最近因为家里娃娃生病请了半个月的请假，后来请假时间到了娃娃还没好，刚好这个时候手机又坏了，我一个人又要照顾娃娃所以没有时间去修理手机，所以没有给公司叙假，后来过了几天我修了手机准备打电话给公司请假，公司说我无故旷工三天给我算自动离职了。可是之前公司让我们签了一个协议，公司冬天为了能留人所以每个月从我们的工资里面扣300块钱，连续扣四个月，明年开年翻倍作为奖励发给我们。（协议是我们做不到明年工资里面扣的钱和奖励一分都没有）现在公司也说扣的这个钱不给我，我想问一下这个钱我有权利要回来吗？谢谢律师帮忙解答一下,你好，你有权利要回来，你可以通过劳动局监察大队协调投诉处理，也可以直接申请劳动仲裁,员工权益
我需要法律援助——2018年4月2日下午，因在中山市工地上打工左眼睛受伤经治疗后鉴定结果为十级伤残，可是鉴定结果上却没有写明手术后眼睛飞蚊症，公司也据不承认，就鉴定结果也不认，还说“你去请律师上法院告我呀！”我的1.以后飞蚊症的药费怎么办？2.眼睛也要终身戴眼镜，以后的费用谁出？3.我需要法律援助。谢谢！,您好，你符合援助条件，你可到当地司法局法律援助中心申请法律援助。,员工权益
上下班打卡记录，能否认定加班，离职时主张加班费，法院是否支——上下班打卡记录，能否认定加班，离职时主张加班费，法院是否支持？1、工作日，我若有上下班打卡记录，但是公司没有内部加班延时审批手续，可否认为是加班？有的时候到晚上11点，12点，1点、2点的。2、若非工作日，我有到公司上下班的打卡记录。离职时若凭打卡记录，上述两种情况，能否申请到加班费？,可以申请加班费。上下班的打卡记录可以证明你的工作时间，但是还有劳动合同约定的工种岗位时间工资等相关证据佐证,员工权益
