questions,answers,classes
工资不直接发在我账号里——请问去实习公司不和我们签劳动合同，而且工资发给学校在发给我们算不算违法,首先，关于实习生与实习单位签订劳动合同的问题。由于各地地方性法规对这一问题的规定存在一定差异，因此建议您咨询当地律师。有一种观点认为，由于实习学生是在校学生，无法与用人单位建立全日制劳动关系，因此学生可以与用人单位签订非全日制用工合同，或者与用人单位签订劳务合同而不形成劳动关系。其次，关于工资发放的问题。如果学校方面没有克扣学生工资（劳务费），企业方面按时足额发放实习工资（劳务费），这种代为转交的方式并未违反法律强制性规定。,工伤事故
劳动纠纷——请问，交保满15年，年龄50周岁，企业工作7年，不让退休怎么办？,您好，法律服务组7为您解答。依据当前政策，在参保缴费满15年的前提下，有如下几种情况可以50周岁退休：1、职工养老保险的女工人：目前规定其法定退休年龄为50周岁；2、职工养老保险中从事有毒有害工种满一定期限的女干部：如果女干部从事有毒有害工种的技术方面工作满一定期限，也可以提前五年退休即50周岁退休；3、经当地市级以上劳动部门组织的劳动能力鉴定委员会鉴定为完全丧失劳动能力的男性，可以在50周岁时申请病退。因此，按照您的描述，如果您属于上述条件的，您是可以办理退休手续的，建议先和单位协商解决，实在不行就找劳动仲裁机构或当地社保局求助。,工伤事故
劳动仲裁——请问下劳动仲裁判决认可工资部分，以及赔偿金（说发条失效）我提起上诉可以要求赔偿赔偿金部分，可以先向申请法院先执行工资部分吗？,你好，上诉可以提出新的诉求。如果对方同意调解的，可以进行调解，否则会要求另行起诉。也可以向法院申请先予执行。由法院依法进行审查作出是否准允的裁定。,工伤事故
社保——请问，我在一家单位工作5年了，没有签订合同，也没有缴纳社会保险，我该怎么维权？,要求解除合同，双倍工资赔偿以及相应的补偿金。,工伤事故
"上班快十年了，没有签合同，没有缴纳保险，现在还要让我辞职——我是一名退伍老兵，9年前当地城管招人，就应聘上岗至今，其间也没有签过任何合同，没缴纳过保险，之前工资都是现金形式发放，从18年是银行卡发放，之前每月就几百块到后来1000,1500，现在又说不让干了，让辞职，我都快到退休年龄了，现在他们这样能能要求什么补偿？可以申请劳动仲裁吗？",您好，你可以到当地劳动人事争议仲裁委提请劳动人事争议仲裁，提起仲裁时你有选择权，你可以要求城管局继续履行合同不辞职，也可以选择辞职要求经济补偿金、补缴相应的社保费等,工伤事故
辞职后，公司是否有权扣工资？——我于2018年7月7日入职，2018年12月15申请离职，并告知做到12月17日，老板同意后，现在却告知辞职要扣除1000元工资，并要我12月19号再去上班一天，如果不去按旷工处理，并扣除三倍日工资，我签订过劳动合同，但在职期间公司没有为我缴纳社会保障金，那么公司有权扣我工资吗？我是否可以去劳动局投诉,你好，如果你是以公司不缴纳社保辞职的，老板也同意，是合法的。扣除工资不合法，要求12月19再去上班也不合法。可以到劳动局去投诉。,工伤事故
解除员工劳动合同——员工出国，持续旷工超过15个工作日，现需与其解除劳动合同，已将解除劳动合同的通知通过微信及电话告知该员工，还需登报公告吗,你好，如果按照劳动合同约定的地址通知了，可以不登报公告。,工伤事故
公司拖欠多年社会各项保险和工资，本地政府各部踢皮球——你好，我想替我母亲问个问题，我们找不到办法被逼无奈了，请问有没有懂行的人告诉我们该怎么做我们在山东邹城，公司是搞煤矿相关的，后期效益不好，拖欠工资和保险，我母亲就在2015年11月辞职，她身患乳腺癌，我们家又是平常穷人家，治病急需医疗保险。但是公司拖欠一直说没钱不给我母亲。2016年向本地政府劳动监察大队投诉，至今未果。我母亲不是个例，很多人的工资和社保都被拖欠，我们用自己了解的途径求助投诉，却遭乱踢球，请问我母亲到底怎样做可以要回保险呢？,当事人，您好。如果您母亲与用人单位之间存在全日制劳动合同关系，用人单位不为您母亲办理社会保险是违法的。针对企业的此类违法行为，我国法律赋予相关当事人多种维权途径。从您目前的情况来看，在当地劳动监察部门不作为的情况下，你方可以就劳动监察部门的行政违法行为提起行政诉讼，要求劳动监察部门作出一定的行政行为。此外，你方还可以申请劳动争议仲裁。在劳动争议仲裁不予受理或者处理结果不能满足你方期望的情况下，你方还可以向人民法院提起诉讼。根据我国现行法律以及相关司法解释，你方如果要求用人单位补办社会保险，还需考虑地方的相关政策。在不能补办社会保险的情况下，你方可以要求用人单位给予合理的补偿。,工伤事故
企业罚款权——公司规章制度里面有罚款条款是否合法？如不合法公司以违反规章制度为由扣罚员工一千多元工资员工可以以公司违反劳动法提出解除劳动合同并要求经济补偿吗？,公司规章制度里面有罚款条款不合法。如不合法公司以违反规章制度为由扣罚员工一千多元工资员工可以以公司违反劳动法提出解除劳动合同并要求经济补偿。,工伤事故
企业以员工违反规章制度扣罚员工工资——我因上班空闲时玩手机被公司以违反规章制度为由记我两个小过（两个小过算一个大过两次大过既开除）并罚扣1079元工资。我向公司提起申诉表示接受记过处分请求退还扣罚的工资，公司仍坚持扣款。我可以以公司违反劳动合同法第三十八条提出解除劳动合同并要求经济补偿吗？,可以。建议你先到劳动局劳动监察大队请求劳动行政调解，如果调解无果，你可以申请劳动仲裁，要求依法裁决解除劳动合同合同结算工资并要求经济补偿,工伤事故
国外劳动纠纷——我被人叫来印尼工作来时承诺的工资现在变少了，现在工作两个多月想回去才知道老板没有给我们申请工作签还不给护照我们。现在回去不了该怎么办？,您好，法律服务组7为您解答。按照您的描述，建议你找当地大使馆寻求帮助。,工伤事故
"事业单位外聘人员养老保险问题——公益二类事业单位,不给外聘人员上保险,单位人事部门说开不了帐号，所以无法给外聘员工上各项保险。请问如何解决。",你好，如果存在劳动关系的，可以向当地的劳动监察大队投诉，也可以申请劳动仲裁。,工伤事故
拖欠薪资——本人在一家私人医院工作约1.5年，来的时候签了一份单式的甲方合同，并没有注明工资和绩效，工资和提成都是口头约定，从17年到如今一年多的时间，绩效都没发，现如今我从这家医院辞职，还要扣掉我两个月的所有钱,你好，对于工资数额、绩效数额等可以搜集证据，然后及时申请劳动仲裁。,工伤事故
克扣工资成负数——老板自立公司扣款标准，把业绩达标设立的很高，未完成的话扣款很重，连续几个月工资都是负的，请问可以申请赔偿吗，需要收集哪些证据？,无故可口，本身就违法，同时法律规定，每月不能低于当地的工资标准进行发放，考情记录，证人证言等。,工伤事故
孕妇被辞需争取合理的补偿——您好，律师朋友，我现在怀孕16周，入职三个月，已转正，面临被离职境遇。继续履行劳动合同已协商不成。赔偿现在单位只赔偿一个月的工资，其他都不给。我想了解一下我合法的补偿是什么和孕妇三期被辞的相关规定和赔偿,你好，你讲的情况，单位是违法解除劳动合同，可以申请劳动仲裁，要求继续履行劳动合同。,工伤事故
找工人建房出事故，房主负什么责任——农村找工人建棚子，工人穿拖鞋爬高摔倒，当地评定十级伤残，当地法院判我赔偿8万，负主要责任，我觉得不应该,如果对一审不服可以上诉。如果一审判决已经生效或者二审已经判决，那就只能按照判决执行了。过错责任比例，要看具体案情。无法评价判的对不对。如果已经是生效判决，结果无法更改。这种案子，通常不会判错；即使对结果有些不服，也只是比例大一点或者小一点，金额多一点或者小一点，不会有什么大错误，审判法官就是裁量权，无法通常申诉程序给改过来。如果有上诉机会，法律给了当事人这个权利，那不服就上诉呗；如果已经没有上诉机会了，建议尊重法院判决按照判决结果履行。,工伤事故
工伤二级伤残一次性赔付——工伤二级伤残，下半身无知觉，无居住条件，24小时需要人看护，需要购买日常医疗器材。这样的情况厂家需要一次性赔付多少，按月赔付多少,你好，关于工伤赔偿相关问题，《工伤保险条例》对项目标准都有详细规定，希望你认真研读，必要时找律师咨询,工伤事故
工伤鉴定九级应得哪些补偿，标准明细——你好，本人在当地月工资3200，工伤鉴定9级，住院35天，需要得到哪些补偿，计算方式，都是几个月工资？,《工伤保险条例》第三十七条职工因工致残被鉴定为七级至十级伤残的，享受以下待遇：（一）从工伤保险基金按伤残等级支付一次性伤残补助金，标准为：七级伤残为13个月的本人工资，八级伤残为11个月的本人工资，九级伤残为9个月的本人工资，十级伤残为7个月的本人工资；（二）劳动、聘用合同期满终止，或者职工本人提出解除劳动、聘用合同的，由工伤保险基金支付一次性工伤医疗补助金，由用人单位支付一次性伤残就业补助金。一次性工伤医疗补助金和一次性伤残就业补助金的具体标准由省、自治区、直辖市人民政府规定。,工伤事故
