questions,answers,classes
公司制度想让我走——我2013年3月份毕业来到公司实习当时入职的时候签了一份合同，当时公司说实习三个月然后转正式员工，因为当时年纪小不太了解劳动法，公司到了转正期间也没有跟我签劳动合同上社保，在当年11月份因为工作改变把我掉去别的岗位，我当时要求公司给我上社保，但是公司不给上，然后到了2018年10月份公司改革，说我不是公司员工想让我自动走但是我有工资打卡记录还有拿现金工资的记录请问律师如果这样公司不给我补偿并且要求我离职怎么算,你可以向公司所在地劳动仲裁委员会申请仲裁，第一、要求公司支付未签订书面劳动合同的11个月的双倍工资，第二、要求工资支付经济补偿金，工作每满一年，支付一个月的工资作为经济补偿金，第三、补缴相关保险费。,未知
老板骗我们辞职该怎么办！——我是某家具公司实习的，6月份刚签了2年的劳动合同，老板以公司破产为由，骗我们签自愿辞职书，虽然发放了拖欠的工资，但总感觉我们被骗了，因为公司根本没破产，只不过是骗我们自己辞职，我们该如何通过法来维护自正的正当权益。,因受欺诈而辞去工作的情形属于民法上所称的因违背真实意思表示而作出的民事行为；在劳动法领域内，实务中的做法通常是要求用人单位给付其依法应当支付的“经济补偿金”，而不是撤销解除劳动合同的协议，然后要求用人单位继续聘用劳动者。当然，劳动者也可以主张用人单位继续履行原劳动合同，但要考虑再回去工作后的心理感受。此过程中，劳动者维权的关键在于证明被欺诈而作出“辞职”的意思表示的证据。只要证据充分，即可认定用人单位一方是违法解除劳动合同。,未知
公司拖欠120多名员工工资，4个月至今没有消息——董事长拖欠120多名员工，工资4个月，一直没有消息，当地上诉也没有什么消息,建议你方先向当地劳动监察部门投诉该单位，以期获得问题的最快解决。当然，任何问题的解决均需要一定的时间，这背后相关工作人员的调查取证、沟通协调均需经过相当的程序，故请你方耐心等待处理结果。此外，需要提示你方的是：务必保存好相关证据，对拖欠工资的数额、时间等关键证据要注意收集、固定，以备不时之需。,未知
装载机造成我家经济损失——我家叫装载机推房，装载机将后墙推到后砸到邻居家的墙上，将邻居家的墙，大门东子砸歪，人家要赔偿，装载机司机有什么责任，谢谢,您好，法律服务组7为您解答。您描述的这种情况属于侵权纠纷。按照您的描述，如果装载机的司机和您之间是雇佣关系，那么您需要对装载机司机给邻居造成的侵犯财产权的纠纷承担责任，但是您可以向装载机司机进行追偿。根据我国侵权责任法第十九条“侵害他人财产的，财产损失按照损失发生时的市场价格或者其他方式计算”；第二十条“侵害他人人身权益造成财产损失的，按照被侵权人因此受到的损失赔偿；被侵权人的损失难以确定，侵权人因此获得利益的，按照其获得的利益赔偿；侵权人因此获得的利益难以确定，被侵权人和侵权人就赔偿数额协商不一致，向人民法院提起诉讼的，由人民法院根据实际情况确定赔偿数额”；第三十五条“个人之间形成劳务关系，提供劳务一方因劳务造成他人损害的，由接受劳务一方承担侵权责任。提供劳务一方因劳务自己受到损害的，根据双方各自的过错承担相应的责任”。,未知
劳动纠纷——我实际工资加绩效等收入4000多元，但我社保缴费基数2500(我市社保基数公布的2500)请问我能以缴费基数不合法为由单方解除劳动合同吗，我毕竟实际收入4000多？？能得到什么赔偿？？,您好，法律服务组7为您解答。按照您描述的这种情况，比较常见。一般情况下，单位会以您和单位签订的劳动合同上面的数字为准，来作为社保缴纳的基数。如果您觉得不合适的话，您可以提起劳动仲裁来维护权利。,未知
工厂招聘两倍工资上班7天就没有双倍工资吗——在工厂上班7七天半，当时厂区招聘写的是第一个月是两倍的工资，服装厂因为是计件的嘛，做了一个礼拜就辞职了，请问是像厂里说的那样只给计件的工资吗？去了一个礼拜就给2百多块钱的计件工资。本人电话18368004030,您好，法律服务组7为您解答。按照您的描述，这种情况如果在招聘的时候说明第一个月是双倍工资，则应当可以理解为入职工作一个月可以要求双倍工资，而您的情况是您是在第一个月只工作了7天，那么站在工厂的方面可能不会按照招聘时候的要求去支付您双倍的工资，毕竟您没有工作满一个月。但是具体工资如何支付，建议您与工厂进行协商，此外您还可以通过申请劳动仲裁的方式来维护您的合法权益。,未知
在工作的地方工作一个多月不发工资——没签合同的情况下在一个地方工作了一个多月，之前工资什么的说的好好的，就一直不发工资，拖欠工资。,1、劳动者正常辞职分两种方式：一是，劳动者主动提出解除劳动合同，二是，劳动者因单位存在违法行为被迫提出解除劳动合同，不用提前30天，也不用批准，可以立马走人。2、如果是因为劳动者被迫解除劳动合同的，用人单位还必须按照劳动合同法第十六条第四十七条的规定，支付每工作一年一个月工资的经济补偿金；3、劳动者提前30天（试用期提前3天）书面通知用人单位，可以解除劳动合同；如果您提前30日日书面向用人单位提出了离职，30日期限届满后就可以离职，用人单位不配合办理离职亦不影响，当中造成的损失由公司自行承担；,未知
我交了农保，社保就不交，劳动合同是否有效——没交社保的劳动合同是否有效。我自动离职是不是违反合同。有没有补偿金,"不合法,建议向当地的社保机构投诉.",未知
人事档案丢失。——由于原单位违犯了《档案法》第二十四条第一项之规定，将本人档案丢失，直接导致我现在老年生活没有保障。根据最高人民法院，关于人事档案被原单位丢失后当事人起诉原用人单位补办人事档并赔偿经济损失是否受理的复函，我找了江陵县法律援助中心，可是，段辉忠律师说不属于他管。我一个靠吃国家低保的，一个月235元的低保费，哪有钱去请律师，为此，特请求您们给予帮助！,您好，法律服务组7为您解答。按照您的描述，对方欠债不还的行为属于违反合同的行为，建议您先与对方进行协商，要求对方及时偿还其欠款，如果协商未能解决问题，您可以请求公安机关帮助解决，如果仍不能拿到欠款，您则可以向法院起诉，要求超市承担相应的责任。相关法条：《中华人民共和国合同法》第一百零七条当事人一方不履行合同义务或者履行合同义务不符合约定的，应当承担继续履行、采取补救措施或者赔偿损失等违约责任。第一百零八条当事人一方明确表示或者以自己的行为表明不履行合同义务的，对方可以在履行期限届满之前要求其承担违约责任。,未知
邯郸民生银行无故扣压社保关系怎么办——我孩子原在邯郸民生银行工作，因其无故拖欠工资报酬于2014年6月向银行提出辞职，劳动合同已解除，但至今邯郸民生银行一直扣压着社保关系不给转。联系电话；13731026863,索赔金额是按照伤残的情况来确定的。可以私了，如果不能私了的，那就法律途径来解决。,未知
