questions,answers,classes
没有合同公司已兑拖欠工资——2014年09月在这家公司任职前台接待，一直到2017年2月10日，未签订劳动合同，未交过保险，公司发工资也是以现金结算没有流水及工资条。公司老板在没有告知的情况下将公司出兑。老板在2016年因经营不善，于2016年8月至2017年2月，以没钱为理由，拖欠本人半年工资。发现公司出兑后与老板取得联系，老板以欠下巨额贷款为由，继续拖欠工资，一直说等几天，等几天，可却至今未支付一分工资。想咨询这种情况我还能否要出拖欠的工资，应该怎样去走法律途径去讨薪。本人邮箱664767219@qq.com,去所在辖区劳动仲裁寻求帮助，会得到妥善解决的，祝好运！,维权方式
工厂交了八年的养老保险，退厂自己能补交吗——我在工厂交了八年的养老保险，现在退厂了，自己能补交吗，该怎样补交,你好，法律服务组3来为您解答问题：可以补交，具体补交多少养老保险以及如何补交建议打电话咨询你所在地的劳动社保中心。,维权方式
私营业主拖欠工资跑路可诉他家人吗——老板浙江的，在潍坊在他那工作了三年，现在由于他自己问题公司做不下去了，人回南方老家过年后就没再回来了，现在人消失了，在山东潍坊有老婆孩子，现在老婆孩子也不露面人也不见，没有什么劳动合同之类的，就是口头上的，咨询可否在山东状告他老婆，潍坊还有好几个债主可以为我作证，集体上告，我自己的工资算少的，那几个债主的多，现在如果去浙江怕是找不到人还浪费路费，花钱雇律师要花钱多不多，谢谢谢谢！,建议向当地的劳动监察部门去举报、投诉。,维权方式
养老保险咨询——我今年2月14日年满60岁，户籍年龄也是这么大，但是我的合同档案年龄小两岁，单位的人劳部门不认同我的户籍年龄，不给办退休手续。请问他们这样做合法吗？,你好！法律服务组4来为你解答。你好，在工作过程中，你已经尽到职责，提醒老板不能跨地区卖产品，但老板仍然坚持卖给客户，导致被罚款的，这不是你的过错，老板不应当将此事的责任推到你的头上，要你承担罚款的一半，也应当是不合理的要求。你的工资应当正常发放，劳动局没有履行职责责令用人单位按时给你发放工资的，你还可以向人民法院申请支付令，由法院依法发出支付令，用人单位应当履行支付令，未履行的，你可以申请人民法院强制执行。你也可以向劳动仲裁委员会申请劳动仲裁。相关法条：《中华人民共和国劳动法》第九十一条用人单位有下列侵害劳动者合法权益情形之一的，由劳动行政部门责令支付劳动者的工资报酬、经济补偿，并可以责令支付赔偿金：（一）克扣或者无故拖欠劳动者工资的；（二）拒不支付劳动者延长工作时间工资报酬的；（三）低于当地最低工资标准支付劳动者工资的；（四）解除劳动合同后，未依照本法规定给予劳动者经济补偿的。第七十七条用人单位与劳动者发生劳动争议，当事人可以依法申请调解、仲裁、提起诉讼，也可以协商解决。调解原则适用于仲裁和诉讼程序。《中华人民共和国劳动合同法》第三十条第二款用人单位拖欠或者未足额支付劳动报酬的，劳动者可以依法向当地人民法院申请支付令，人民法院应当依法发出支付令。,维权方式
工伤赔偿计算——本人27岁，在福建寿宁修建高速公路，由于公司安全没有做好，我在施工过程中被挖机倒石头砸伤（肩胛骨粉碎性骨折，没有做手术）。入职3个月，没有和公司签订劳动合同，工资收入按工作量计算，大约6000一月。请问，我能找公司索赔多少？公司赔偿后可以追究挖机的责任吗？能帮我大概计算下吗？最好能给我一个计算公式。谢谢！,能够依法要求公司补缴，不能补缴的，可以要求赔偿。,维权方式
有关终止按劳动合同——你好，我是2006年7月1日到一家超市工作的，07年7月1日起签订劳动合同。至今已经签了三四次劳动合同，其间合同分别有两年和一年一签的（连续工作），现在合同到期日为2014年12月31日。现在因房屋拆迁，超市未提前通知，7.17突然停止营业，提出终止劳动合同。补充：租赁方对超市本有安排新的营业地点，但因房租问题没达成协议。且超市解除租赁关系，得到近400万的补偿，请问1、我们应该得到补偿还是赔偿？2、合同未到期的这段时间有无补偿（赔偿）3、我们因拆迁也受牵连，是否应该有补偿单位给出的《终止劳动合同决定书》为配合县政府市政工程规划的实施，7月16日超市与房屋租赁方签订解除房屋租赁合同协议，并协议签订后必须立即停止营业，为此，单位决定提前解散。依据《劳动合同法》第44条第5款，你与超市劳动合同于8月5日终止,拖欠工资的事，只能向法院起诉，没其他办法。,维权方式
起诉欠款有时间期限吗——起诉欠款有时间期限吗。,你咨询的应该是公民代理问题，《民事诉讼法》作了以下规定，供你参考。第五十八条当事人、法定代理人可以委托一至二人作为诉讼代理人。下列人员可以被委托为诉讼代理人：（一）律师、基层法律服务工作者；（二）当事人的近亲属或者工作人员；（三）当事人所在社区、单位以及有关社会团体推荐的公民。,维权方式
15年前发生在上班时间内病了，算工伤吗？——父亲在1999年秋天，那天晚上正好夜班，他是一名火车司机，交接班后检查车底准备出库时，突然左眼感觉看不见东西了，于是跟领导请假去了医院，经医生确诊为脑梗，只是堵在眼睛上了，火车不能开了，后几年，单位让爸爸病养，这一病养涨工资福利什么都没有了，爸爸是家里的顶梁柱，病养后才开600多，经济困难还得给爸爸买药，后来妹妹去申请了一回救济，因为爸爸单位离家太远了，跑一回也不方便，所以我想问问您，像我爸爸这么久的事情，现在去找单位领导，还能管用吗？属于工伤吗？,您好，法律服务组7为您解答。按照您的描述，如果您的疾病可以诊断为确实由于工作导致，则您可以向所在单位提出工伤认定申请。此外，在您治疗期间可以享受工伤保险待遇。相关法条：《工伤保险待遇》第十七条职工发生事故伤害或者按照职业病防治法规定被诊断、鉴定为职业病，所在单位应当自事故伤害发生之日或者被诊断、鉴定为职业病之日起30日内，向统筹地区社会保险行政部门提出工伤认定申请。遇有特殊情况，经报社会保险行政部门同意，申请时限可以适当延长。用人单位未按前款规定提出工伤认定申请的，工伤职工或者其近亲属、工会组织在事故伤害发生之日或者被诊断、鉴定为职业病之日起1年内，可以直接向用人单位所在地统筹地区社会保险行政部门提出工伤认定申请。按照本条第一款规定应当由省级社会保险行政部门进行工伤认定的事项，根据属地原则由用人单位所在地的设区的市级社会保险行政部门办理。用人单位未在本条第一款规定的时限内提交工伤认定申请，在此期间发生符合本条例规定的工伤待遇等有关费用由该用人单位负担。第三十三条职工因工作遭受事故伤害或者患职业病需要暂停工作接受工伤医疗的，在停工留薪期内，原工资福利待遇不变，由所在单位按月支付。停工留薪期一般不超过12个月。伤情严重或者情况特殊，经设区的市级劳动能力鉴定委员会确认，可以适当延长，但延长不得超过12个月。工伤职工评定伤残等级后，停发原待遇，按照本章的有关规定享受伤残待遇。工伤职工在停工留薪期满后仍需治疗的，继续享受工伤医疗待遇。生活不能自理的工伤职工在停工留薪期需要护理的，由所在单位负责。,维权方式
腾讯微博-工伤伤残赔偿金法院不受理怎么要——@lol118508农业银行欠三级伤残赔偿金15年不给付，因为属工伤，法院不受理。还有什么渠道可以要?,找劳动监察部门反映情况，一般每个工程都有一定的务工人员工资支付保证金。,维权方式
辞职需要缴纳1万的违约金是否合理——我是去年毕业通过校园招聘进入公司的。一进公司，公司就要求上交毕业证原件，学位证原件，还说都是自愿的，不满的话可以不来，并且这还没有完，当我们确定留下来时被分到正式岗位之前还要签订一个承诺书，承诺在公司干三年，不满三年在此期间离司要交一万的违约金。当时没想太多认为三年我干满了就了，也就签了。进入工作岗位，经过一段时间的磨合发现自己越来越不愿意在公司干了。个人原因也有，公司原因也有。所以想离司找到自己愿意干的工作。但是又被承诺书约束，因为刚工作才一年。所以我想问在此请问法律专家，公司压我们的学位证，毕业证合法么？这个承诺书合法么？收取一万的违约金合法么？最后我们这些弱势群体能通过什么手段保证自己的权利呢？,以后经过鉴定的，按以后的鉴定结果执行。,维权方式
