questions,answers,classes
被扣工资——2018年3月-5月.我在个人企业工作，世界杯期间6月份未请假看球，2018年7月结束回公司被老板告知不用了。工资还有2000没开，说年底再说，年底去了给开1000.另外1000没开。理由是涨工资的3个月扣除了。我不明白这个逻辑，2019年1月21日我去的开发区劳动局，先监察调解未果，需要劳动仲裁，仲裁需要各种证明，我不能出示，请问还需要做那些，另外还有几人也被扣工资了。,建议你认真研读《劳动争议仲裁法》，其中的好多证据都是要用人单位举证的,辞退解雇
劳动仲裁申请书——本人于2018年10月10日申请入职，在职期间未签订劳动合同，当时口头谈工资试用期2000一个月，一至三个月转正（转正后2500），于2018年11月11日提交转正申请书，当时人事领导说必须月初才能转正，后口头订于十二月转正。2019年1月13日，被部门主管微信电话告知辞退。未提前通知，请问未签订劳动合同双倍工资应申请几个月，辞退补偿金应该申请多少？,你好，根据单位辞退你的理由才好判断，是否能享有经济补偿还是赔偿金。但是，没有签订劳动合同的双倍工资可以主张。,辞退解雇
单位拖欠工资员工怎么办？——从2018年4月份后单位一直在拖欠员工的工资，每个月的工资是分两次发放，先由财务打一半的工资到银行卡里，而后老板再以现金的形式把剩下的另一半发到员工手里，现在是由老板以现金发的这个二次工资有3个月啦！都没有发，想问一下我该怎么办？以这个事为由提出解除劳动合同的话能拿到补偿金吗？如果能该找些什么证据。,你好，我国法律已经加大了对拖欠工资的惩罚力度，你可以到劳动局、公安局等部门控诉，也可以直接申请劳动仲裁裁决。证据需要你与单位劳动关系的证明，工资并准、劳动时间等,辞退解雇
"拖欠工资等——咨询的问题比较多，因为这个老板已经坑过很多人了，所以希望看到这份咨询信息的律师先生耐心的看完帮我出出主意我在北京一家公司工作有3年多了，公司一直没签劳务合同，也没交过任何一个保险，一直都是死工资，节假日也没有按照国家规定的2倍3倍工资计算，任何补贴都没有，老板口头承诺过的一些项目奖金基本一次都没发过,工作期间我有参与研发申请过多个发明及设计专利也未给过任何奖励，现在公司状况不好老板拖欠了我2个月工资而且还有几个月的工资没有开全，管老板要每次都说没有以后有了再给，因此信用卡提现维持了一段时间，现在信用卡也还不上了，我打算辞职但是老板还是不清算劳务工资，这种情况我该如何处理，需要哪些材料，我能获得多少补偿？另外我们公司去年的收入和支出数额对不上，怀疑公司大股东也就是我的老板私自挪用工资资金，但是我没有证据，公司的账目也很乱一直都事大股东把控，作为员工我提过让他公开账目，但是他始终未处理，我想问一下我是否能够举报到工商局或者其它司法机关核查是否有私自挪用公司财产的犯罪？而且我们员工的工资和连锁的营收都是个人账户转给我们的，公司有应该也有偷税漏税的行为，我是否能够举报？公司的部分电子设备也有严重的产品缺陷，而且都从厂家生产出来后直接销售给客户，研发和生产过程中未经任何质检和相关工商部门的批准许可，基本属于三无产品，我是否能够举报？",你好，建议你到劳动局劳动监察大队投诉，或者直接申请劳动仲裁，维护你的相关权益,辞退解雇
从未做好的工装一次未穿离职时扣钱合法吗？——我在2019年9月份入职该公司，入职满一个月后转正给量身定做了一套工作服，但是在我2018年12月份离职的时候（辞职申请是提前20天左右提出的）这套衣服仍未到我手，离职后说工装等做好通知我，但是在12月份发11月份工资的时候已经扣除了我的工装钱，我想咨询一下：虽说公司名义上说量身定做工装，但是在职3个月没有穿过一次，离职扣工装钱可以申请仲裁吗？,如果已经扣除了工装费用，应该将订做好的工装交付给你。另，申请仲裁是你的权利。,辞退解雇
劳动纠纷——63岁老人农村户口，进城务工，单位未给买保险，下班途中车祸死亡怎么申请赔偿？,建议按机动车交通事故责任纠纷向法院提起诉讼，由侵权人及车辆保险公司承担相关赔偿责任，无法按工伤保险待遇处理。,辞退解雇
不发十三薪合理吗？——物业公司本来规定做满一年可以有十三薪，但做了十一个月，换物业，员工可以要求老板发十三薪吗？要找什么部门？求解答，,你好，需要得到十三个月薪，按照约定做满一年，由于没有满一年，公司不给，并没有违约。不知你说的换物业，情况不明，所以，无法作进一步的解释。,辞退解雇
"我的工资可以找谁支付和解除我的劳动关系——尊敬的律师：你好！我是一名江苏省连云港煤炭工业公司的职工，但我的五险一金在连云港市煤炭工业公司下属独资公司白集煤矿机械销售中心交纳，党员关系存在煤炭工业公司。2013年外派贵州连云矿业集团下属单位金沙县连云矿山设备有限公司（洗煤厂）工作。2015年年底贵州连云矿业集团整体歇业，2015年12月定我为留守人员，2016年经沈××审核上账上报在金海投资大院公示欠我薪资119811元，江苏天凯会计事务所审时定为106461元，2016年12月煤炭工业公司下文件减员，2016年留守期间欠我薪资9520元，我于2017年元月交了档案欠当月工资4500元,洗煤厂领导开会定辞退补助我28000元总计148481元.辞退时我要求兑现,沈亚全以各种理由推拖,后来,我三番五次找总公司马总,他总是说帮协调,协调一年多了，也没有兑现。,沈××说不关他的事，并拒绝出据职工解除合同证明。.来回拖到现在，我都找两个年头了，实际情况，辞退职工都是连云港市煤炭工业公司统一调动资金统一解决的，洗煤厂不想付这笔钱，洗煤厂私人合资与我职工的工资有什么关系，到煤炭公司也找不到主要领导，找到市仲裁说不能立案并出据文书，马总是连云港煤炭工业公司，江苏白集煤矿机械销售中心及贵州连云矿业集团三家公司的法人代表。请帮我理一下，我的工资可以找谁支付？我的劳动关系和那家解除？",尊敬的当事人，你好！如何确定您应得工资的支付主体，一个基本的原则是要看您向哪个单位提供了劳动，或者说您与哪个单位之间存在劳动关系。从您的叙述来看，从2013年您被外派到贵州连云矿业集团下属单位金沙县连云矿山设备有限公司，即洗煤厂工作之后，您如果没有与连云港市煤炭工业公司下属的独资公司白集煤矿机械销售中心解除劳动合同关系，则江苏白集煤矿机械销售中心应当向您支付工资。换一个角度来说，如果您的五险一金一直是由江苏白集煤矿机械销售中心缴纳，那么通常情况下就可以认定您与该中心存在劳动关系。如果当地劳动争议仲裁委员会明确表示不受理此案，那么您可以持相关不受理证明文书向人民法院提起诉讼。如果您无法确定被告或者是应当承担工资支付义务的主体，则可以将可能承担责任的各主体均作为共同被告。,辞退解雇
企业有没有对员工的罚款权——因上班空闲时玩手机被公司以违反规章制度记两个小过并罚款1079元（十二天基本工资）经与公司协商，公司仍坚持罚款。我可以以公司违反劳动合同法第三十八条（1）未按约定及时支付劳动报酬和公司规章制度损害劳动者权益为由请求解除劳动关系并要求经济补偿吗？,你好，建议你申请劳动仲裁来解决。,辞退解雇
劳动仲裁委员会下达的劳动仲裁调解书让法院无法执行——企业非法开除职工，劳动仲裁委员违背事实，和适用法律不当，偏护用工单位，庭审笔录不经当事人签字，调解书中不注明调解结果，调解结果非申请人在仲裁庭上申请事项，企业在仲裁庭和法院执行庭提供证明不一样。不调查取证，下达的调解书无法让被申请人执行，法院无法强制执行，申请人怎么办?电话：18631739157,根据《仲裁法》第52条之规定：调解书应当写明仲裁请求和当事人协议的结果。调解书由仲裁员签名，加盖仲裁委员会印章，送达双方当事人。调解书经双方当事人签收后，即发生法律效力。在调解书签收前当事人反悔的，仲裁庭应当及时作出裁决。第58条当事人提出证据证明裁决有下列情形之一的，可以向仲裁委员会所在地的中级人民法院申请撤销裁决:(一)没有仲裁协议的;(二)裁决的事项不属于仲裁协议的范围或者仲裁委员会无权仲裁的;(三)仲裁庭的组成或者仲裁的程序违反法定程序的;(四)仲裁裁决所依据的证据是伪造的;(五)对方当事人隐瞒了足以影响公正裁决的证据的;(六)仲裁员在仲裁该案时有索贿，徇私舞弊，枉法裁决行为的。人民法院经组成合议庭审查核实裁决有前款规定情形之一的，应当裁定撤销。人民法院认定该裁决违背社会公共利益的，应当裁定撤销。第59条当事人申请撤销裁决的，应当自收到裁决书之日起6个月内提出。以上仅供参考。,辞退解雇
